Date,Close,High,Low,Open,Volume,CPI,real_close
2000-01-03,1455.219970703125,1478.0,1438.3599853515625,1469.25,931800000,169.3,8.595510754300797
2000-01-04,1399.4200439453125,1455.219970703125,1397.4300537109375,1455.219970703125,1009000000,169.3,8.265918747461976
2000-01-05,1402.1099853515625,1413.27001953125,1377.6800537109375,1399.4200439453125,1085500000,169.3,8.28180735588637
2000-01-06,1403.449951171875,1411.9000244140625,1392.0999755859375,1402.1099853515625,1092300000,169.3,8.289722097884672
2000-01-07,1441.469970703125,1441.469970703125,1400.72998046875,1403.449951171875,1225200000,169.3,8.514293979345096
2000-01-10,1457.5999755859375,1464.3599853515625,1441.469970703125,1441.469970703125,1064800000,169.3,8.609568668552495
2000-01-11,1438.56005859375,1458.6600341796875,1434.4200439453125,1457.5999755859375,1014000000,169.3,8.497106075568517
2000-01-12,1432.25,1442.5999755859375,1427.0799560546875,1438.56005859375,974600000,169.3,8.459834613112816
2000-01-13,1449.6800537109375,1454.199951171875,1432.25,1432.25,1030400000,169.3,8.56278826763696
2000-01-14,1465.1500244140625,1473.0,1449.6800537109375,1449.6800537109375,1085900000,169.3,8.654164349758195
2000-01-18,1455.1400146484375,1465.1500244140625,1451.300048828125,1465.1500244140625,1056700000,169.3,8.595038479908077
2000-01-19,1455.9000244140625,1461.3900146484375,1448.6800537109375,1455.1400146484375,1087800000,169.3,8.599527610242543
2000-01-20,1445.5699462890625,1465.7099609375,1438.5400390625,1455.9000244140625,1100700000,169.3,8.53851120076233
2000-01-21,1441.3599853515625,1453.1800537109375,1439.5999755859375,1445.5699462890625,1209800000,169.3,8.513644331669004
2000-01-24,1401.530029296875,1454.0899658203125,1395.4200439453125,1441.3599853515625,1115800000,169.3,8.278381744222534
2000-01-25,1410.030029296875,1414.260009765625,1388.489990234375,1401.530029296875,1073700000,169.3,8.328588477831511
2000-01-26,1404.0899658203125,1412.72998046875,1400.1600341796875,1410.030029296875,1117300000,169.3,8.293502456115254
